Dia 3: Acordando ~ Manhã / Algo queimado,2tksagk80rikj4qa7suntd3637.epk_dec,PH,Revisado,FATE,,,,,,
Dia 3: Manhã ~ Trajeto para a escola / Hematoma não natural,0g50bs8fiu3fsomgs932g6kacb.epk_dec,PH,Revisado,FATE,,,,,,
Dia 3: Manhã ~ Trajeto para a escola / Hematoma piorando,6u9jr4u5659tm5611ljatk48e3.epk_dec,PH,Revisado,FATE,,,,,,
Tiger Dojo 1,6qerdd0lej0jnaun19glo7k7tv.epk_dec,Cão,Revisado,FATE,,,,,,
Dia 3: Interlúdio / Verme abissal,1kre6v8h1nqu2367t1isvlhg3u.epk_dec,PH,Revisado,FATE,,,,,,
Dia 3: Noite ~ Retorno para casa / Mais uma vez,0sq677nj9g2ecr73iu5bl04b89.epk_dec,PH,Revisado,FATE,,,,,,
Dia 3: Aula de Mestre / Rin Tohsaka (II),1u0r0il922brt5obs1fbjh4vjc.epk_dec,PH,Revisado,FATE,,,,,,
Dia 3: Igreja de Kotomine / Determinação.,157gputvlue0nlaavjgoj2b2d6.epk_dec,Cão,Revisado,FATE,,,,,,
Tiger Dojo 2,0b350brgb8c8pcrjt7cbf0c8qh.epk_dec,PH,Revisado,FATE,,,,,,
Dia 4: Acordando ~ Meu quarto / Princípio de comportamento ~ Rin Tohsaka (III),58dv44lmff5q3dpppo0b7m8321.epk_dec,PH,Revisado,FATE,,,,,,
Dia 4: Pergunta da Rin / Entendendo a situação,52mnka8d5f82u9d0ivp8ah7pob.epk_dec,PH,Revisado,FATE,,,,,,
Dia 4: Pergunta da Rin / Conversa séria,2ismqb2mflbv9ci88imeh44msr.epk_dec,daiso / Eii_izumi,Revisado,FATE,PH,,,,,
Dia 4: Pergunta da Rin / Convite recusado,5q6787dnnv6nko6d403nkvnn8c.epk_dec,PH,Revisado,FATE,,,,,,
Dia 4: Manhã / Proposta da Rin,5mna4usa6r99aa70n8l488dr89.epk_dec,PH,Revisado,FATE,,,,,,
Dia 4: Meio da manhã / Solo & only,3imhbf1kb50sj60csm646mak08.epk_dec,Cão,Revisado,FATE,,,,,,
Dia 4: Antes do meio-dia / Saber (I),1vo0hijn87c4534s2hh7qvs2qe.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 4: Sem necessidade de preocupação,2e02t341sm324o84kafh7b7gc8.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 4: Tarde / Circunstâncias da Saber,2qa1r3qo8e5n14jb9tpqjql58n.epk_dec,Cão,Revisado,FATE,,,,,,
Dia 4: Vestido engraçado,7q1jls042pnee7i1pctnbjet0c.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 4: Tarde / Circunstâncias da Saber,69cfp44j9jf95vg7bbit7cf0u6.epk_dec,Cão,Revisado,FATE,,,,,,
"Dia 4: Jantar / Saber e Rin, dando-se bem",0vdpubqvvfvd4dtiqsaq2rg2n5.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 4: Noite / Sou inadequado para ser um Mestre?,6s8jlfiijbhs50ntk8uk0i1b9g.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 4: Sono ~ Galpão / Estrela na névoa,35stdkivnec2h5ho4sp55ramq6.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 4: Manhã / Pacto selado,6a676ft0kedc2c4pn4vkuid198.epk_dec,Nori,Revisado,FATE,,,,,,
Dia 5: Manhã / Rosa e hortênsia,508reolkb8b0qksmsskpbj87s4.epk_dec,Nori,Revisado,FATE,,,,,,
Dia 5: Café da manhã ~ Trajeto escolar / Waku Waku Fuji-nee Land ~ Irmãos Matou,4sbegb77shrm9k7dujvseaa333.epk_dec,PH,Revisado,FATE,,,,,,
Dia 5: Intervalo de almoço / Decisão,27tucr652tt5g2tv9vko27jogr.epk_dec,PH,Revisado,FATE,,,,,,
Dia 5: Intervalo de almoço / Rin Tohsaka (IV),4tp9rrch4ovp9iomrac09s5v7e.epk_dec,PH,Revisado,FATE,,,,,,
Dia 5: Intervalo de almoço / Sakura Matou (III) ~ Deus demônio em fúria,3o0hrclfi29q22mk6bq4houfci.epk_dec,PH,Revisado,FATE,,,,,,
Dia 5: Saindo da escola ~ Tarde / Pergunta para a Saber,3atkmfrvgvk9gtp7q9non897t5.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 5: Pergunta / Sobrevivente,10acpunlceu6uiautm8s4s9nui.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 5: Pergunta / Desconhecido,5doa5m482lmtmf4ve6lp717atr.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 5: Pergunta / Vella Gulf,7q10c645m0iguf1fpntnkuc1f4.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 5: Jantar / Junto com você também,7va164vv4udde831ph75pl5bcv.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 5: Jantar ~ Sono / Confronto: Leão VS Tigre,3rt8dvahc3ntis0om2tfmngtsq.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 6: Escola ~ Casa Matou / O quarto Mestre,73t163is45l04ek8n32qe5gkmt.epk_dec,PH,Revisado,FATE,,,,,,
"Dia 6: Convite de Shinji, desentendimento / Decisão",4l9el9qh7vsj1v06ed3qabo2ki.epk_dec,Cão,Revisado,FATE,,,,,,
Dia 6: Retorno à casa Matou / Dama de ferro,21mem66itap4n8r3uj4gppkisr.epk_dec,PH,Revisado,FATE,,,,,,
Dia 6: Retorno à casa Matou / Sem contato visual,02ujl0j2irsegf4a9uapiufdtp.epk_dec,PH,Revisado,FATE,,,,,,
Dia 6: Noite / Reunião estratégica. Devemos atacar o Templo Ryudou?,557f3v62v7a2k68rcldo2tbru3.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 6: Noite profunda ~ Templo Ryudou / Ariadne desaparecida,2nhma8mqvbeq28ovu2lbsfg638.epk_dec,PH,Revisado,FATE,,,,,,
Dia 6: Noite / Discórdia,7v28p2kdcceap968mv0bnj2iqt.epk_dec,daiso,Revisado,FATE,,,,,,
Interlúdio / Elegância ao luar ~ VS Assassin,488g60ch77d0b9b0ro57uqvvga.epk_dec,daiso,Revisado,FATE,Rin Tohsaka Flamenguista,,,,,
Dia 6: Noite profunda / Saber está ausente,1s86jp2hh50gfjc800p173gkbl.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 6: Retorno ~ Contrato / Garoto conhece garota (I),1skc3522sbb2rrftrr5sngehch.epk_dec,daiso,Revisado,FATE,Unknown11 / Rin Tohsaka Flamenguista / PH,,,,,
Dia 6: Café da manhã ~ Trajeto escolar / Manhã na casa Emiya: arco do festival,144abqfus03tm5vltk6vuabtno.epk_dec,PH,Revisado,FATE,,,,,,
Dia 6: Chegada em casa ~ jantar / Todos se dão bem,5u20ah3m19rbcflbca52sj6jn3.epk_dec,daiso,Revisado,FATE,,,,,,
Interlúdio / Espada mágica ~ VS Assassin 2,62febielgq5sj29s5gh1ok4gg0.epk_dec,daiso,Revisado,FATE,,,,,,
Tiger Dojo 3,22n6as4spf2genb27vg36poovu.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 7: Acordando ~ Manhã / Herói da justiça e um café da manhã típico,2vcub3n06rb7ltbsceorume7qp.epk_dec,daiso,Revisado,FATE,Rin Flamenguista,,,,,
Dia 7: Após o jantar / Aula de Magia (Brasões Mágicos),4de4shp330vlsok6mn5tal3j4m.epk_dec,daiso,Revisado,FATE,Rin Flamenguista,,,,,
Dia 7: Treinamento matinal de espada / Guarda-vidas,1k66v5tu93pujon1rvc3t50fi2.epk_dec,daiso / Unknown11,Revisado,FATE,"Unknown11, Rin Flamenguista",,,,,
Dia 7: Noite profunda ~ Sono / Alguém diferente,11sqgphpk95paf3853fu333k05.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 7: Falar com Saber / Enchendo o Graal,2tnfd8hgga199rp82mj834snmi.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 7: Falar com Saber / Épico heroico,0e08tuof9r77dsbvk5sa61l1sm.epk_dec,daiso / Eii_Izumi,Revisado,FATE,,,,,,
Dia 7: Falar com Saber / Srta. Saber está indignada,0gi0jud1o1od9ei25fqqju22ae.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 7: Meio-dia / Garota de inverno ~ Illya (I),6gblo7vrs52tlljotnm57ngob5.epk_dec,daiso,Revisado,FATE,Rin Flamenguista,,,,,
"Dia 7: Voltando para casa ~ Antes do jantar / O incidente do Shirou espião, pt. 1",6elmh7n4fncd01907ofb92c5c2.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 8: Manhã ~ Treinamento de espada / Guarda-vidas e seguro,5edp6f6tsoe3edjf9vsg7c2b5h.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 8: Falar com Saber / Épico heroico,3fgcjek0q0msfund71pnu4rfu3.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 8: Falar com Saber / Srta. Saber está indignada,2kggu1ufjj3tchi0lmbkjn6qn8.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 8: Falar com Saber / Enchendo o Graal,4bokk1ihog3oebleml4pibf7nl.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 8: Falar com Saber / Srta. Saber está indignada,2olq1f4kf5tc33t7ecfnopncus.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 8: Falar com Saber / Enchendo o Graal,48g48juj7a8u46jacbs8tfh755.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 8: Falar com Saber / Épico heroico,0f3b79q26d1de6ke6bu0jcjqbs.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 8: Meio-dia / Distrito comercial,5mon6qt6t7illequf4en61uf58.epk_dec,daiso,Revisado,FATE,,,,,,
"Dia 8: Almoço / Saber, a garota do campo",211el0gbe11qi3h5l2avbdj2fs.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 8: Meio-dia / Garota de inverno ~ Illya (II),2dmgk9mivuagkfaug5lhgoee7c.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 8: Antes do jantar / Decisão,1t68crudqf9dmuqruqv7v4ot5d.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 8: Tarde / Leão Engraçado,348afkf0d4b6gkn71ao9qpk4vs.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 8: Tarde / Monstro Orange Pekoe,0hpjmuc242ahi6kkakkfenmge9.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 8: Tarde / Banho dourado,52g9c68lqnqf2p3dmp528dbl0h.epk_dec ,daiso,Revisado,FATE,,,,,,
"Dia 8: Noite / Rin, a briguenta",3d348jch0q0gqv79he2rkeksm0.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 8: Noite / Aula de Magia (interruptores),0mbrg951a782nhegghbd1019i1.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 8: Tarde / Tipos de sorrisos,18qgj2nio3pesuidsceae93fj3.epk_dec,daiso,Revisado,FATE,Rin Flamenguista,TESTAR NOVAMENTE,,,,
Dia 9: Manhã ~ Tarde / Treino de espada ~ Lição da Rin,39bcr30j5gkjcum3dcl52j9b85.epk_dec,PH,Revisado,FATE,Eii_Izumi,,,,,
"Dia 9: Digressão / ""Trabalhos""",4gdgba5pko4fnsmsvr4jcrobj8.epk_dec,PH,Revisado,FATE,Eii_Izumi,,,,,
Dia 9: Tarde / Let's Hachiko,37j96li8fla3kr2gghkqkt0oe5.epk_dec,PH,Revisado,FATE,Eii_Izumi,,,,,
Dia 9: Tarde / Bloodfort Andromeda ~ VS Rider (I),3dmvu3i83qrkpbkd1omi6n2kkm.epk_dec,PH,Revisado,FATE,Eii_Izumi,,,,,
VS Rider (I) / Ataque,0afvs6roqlmjp7dpioai0ffq84.epk_dec,PH,Revisado,FATE,Eii_Izumi,,,,,
VS Rider (I) / Defesa,36cat715ndfkabej73tnqlqu4h.epk_dec,PH,Revisado,FATE,Eii_Izumi,,,,,
VS Rider (I) / Faíscas,1m0mlg2njueuhkss465ll6p11g.epk_dec,PH,Revisado,FATE,Eii_Izumi,,,,,
VS Rider (I) / Melty blood,4opjkvf7stvd5v0lf8jcnqjmln.epk_dec,Cão,Revisado,FATE,Eii_Izumi,,,,,
"VS Rider (I) / Caia, sua mente",57j2p4cse302ma56rg5rkb8mf4.epk_dec,daiso,Revisado,FATE,Eii_Izumi / daiso,,,,,
VS Rider (I) / Invocando Saber,24hkmfva0v5ahk1jbsndrqoumc.epk_dec,daiso / Cão,Revisado,FATE,Eii_Izumi / Mushie,,,,,
VS Rider (I) / Invocação e resgate,28pvthmpmpl17uaut1dd0ln0nd.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
VS Rider (I) / Guarda-chuva Rafflesia,32lr0e6l4jldl164nhg3t1b0s5.epk_dec,daiso,Revisado,FATE,Eii_Izumi / daiso,,,,,
VS Rider (I) / Trem maluco,51bfi5cjtc6tric6r4aqmu0b6b.epk_dec,daiso,Revisado,FATE,Eii_Izumi / daiso,,,,,
Dia 9: Noite / Garoto conhece garota (II),7nm542537l3nje2uhq8ahj8cjg.epk_dec,daiso,Revisado,FATE,Eii_Izumi / daiso,,,,,
Dia 9: Levantando ~ Café da manhã / Mesa de jantar devorada,7ueu6nts7gvipg4phtv5k8tb9j.epk_dec,PH,Revisado,FATE,Eii_Izumi,,,,,
Tiger Dojo 4,7gg0rnoi72ao1ju5plgb3hn0f1.epk_dec,Cão,Revisado,FATE,Eii_Izumi,,,,,
Tiger Dojo 5,2ruj47qc9fjt97i4eltlu6ai1s.epk_dec,Cão,Revisado,FATE,Eii_Izumi,,,,,
Dia 10: Levantando ~ Manhã / Reunião estratégica,6a8fm4rkdol37j32uhubbedqi6.epk_dec,Cão,Revisado,FATE,Eii_Izumi,,,,,
VS Rider (II) / Circo da Morte,6v67is7lju1hj0g2of4pl0emre.epk_dec,Cão,Revisado,FATE,Eii_Izumi,,,,,
VS Rider (II) / Assalto,7ik50lqgvi81gajuk6mndh5jck.epk_dec,Cão,Revisado,FATE,Eii_Izumi,,,,,
Dia 10: Manhã / O Quebra-Nozes,2t6g04je7bq4nd5vu1qpnsni1m.epk_dec,Cão,Revisado,FATE,Eii_Izumi,,,,,
VS Rider (II) / Espada da Vitória Prometida,0kk66ettmucd5p7npkn2f0f05u.epk_dec,Cão,Revisado,FATE,Eii_Izumi,,,,,
Dia 10: Noite / Sinais de uma tragédia,6vq3ajhgdd0v33d9162p2hhdct.epk_dec,Cão,Revisado,FATE,Eii_Izumi,,,,,
Dia 10: Noite / Garoto conhece garota (III),59p95lcb9oc3jmhiqse9m8puon.epk_dec,Cão,Revisado,FATE,Eii_Izumi,,,,,
Dia 10: Sono / O preço da vitória,1l6nnqjps7qibufin3h98empv5.epk_dec,PH,Revisado,FATE,Eii_Izumi,,,,,
Dia 10: Tarde ~ Relembrando 10 anos atrás / Retrato,491st5k67fsbg1e23gpv0vu3k7.epk_dec,Cão,Revisado,FATE,Eii_Izumi,,,,,
Tiger Dojo 6,12ks4bg6vo07f905dk1iks78q0.epk_dec,PH,Revisado,FATE,Eii_Izumi,"Alguns trocadilhos aqui, deixei anotado as alterações lá no #fate.",,,,
Dia 11: Levantando ~ Saindo / Memórias de um rei ~ Arrependimentos,7odsksmfi9im2tqeahlgbo1bpa.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
Dia 11: Manhã no parque / Olhos brancos amaldiçoados ~ Illya (III),3vgd024mdepibh3aip14pin5ru.epk_dec,Cão,Revisado,FATE,Eii_Izumi,,,,,
Dia 11: Castelo Einzbern / Dress of Heaven,73lrubv3ljlll0af75gb70a174.epk_dec,Cão,Revisado,FATE,Eii_Izumi,,,,,
Tiger Dojo 7,5tpn82kh3la3sp888f9ju9a23k.epk_dec,Cão,Revisado,FATE,Eii_Izumi,,,,,
Dia 11: Castelo Einzbern / Rejeição e fuga,02o63gtfl335glpijq3u917fuk.epk_dec,Cão,Revisado,FATE,Eii_Izumi,,,,,
Dia 11: Castelo Einzbern / Resistência débil,3coldsr5s0mt1bniqt8mcshk54.epk_dec,daiso / Eii_Izumi,Revisado,FATE,Eii_Izumi / daiso,,,,,
Dia 11: Castelo Einzbern / Encontrar uma saída,0k336grsvvaqaac672qp2t0kv7.epk_dec,daiso,Revisado,FATE,Eii_Izumi / daiso,,,,,
Dia 11: Castelo Einzbern / Assassinato na sala de bonecas,0one53eol4ufhri8oah5bd91dp.epk_dec,daiso,Revisado,FATE,Eii_Izumi / daiso,,,,,
Dia 11: Lobby do Castelo Einzbern / Costas distantes,35793dsk7e1rbv4o59j9qvtnem.epk_dec,daiso,Revisado,FATE,Eii_Izumi / daiso,,,,,
Dia 11: Ruínas na floresta / Núcleo de Dragão,6vjionv0flvouodfo12fb9nl1g.epk_dec,PH,Revisado,FATE,Eii_Izumi,Cão estava testando RubyText - deu certo?,,,,
Dia 11: Fuga do Castelo Einzbern / Voo,32rra5fuait4i63akmh2de3f37.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
Interlúdio: Archer e Berserker / Dia 11: Amanhecer nas ruínas,2cj8k3rpdldm4qbss46468he9m.epk_dec,daiso / Eii_Izumi,Revisado,FATE,Eii_Izumi,,,,,
Manhã nas ruínas / Garoto conhece garota (IV),7r0ln6biimd8h987nh7u7v3j3f.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
Manhã nas ruínas / Corrida do ouro?,30un3fkqflonq74m3lfu10ggdf.epk_dec,daiso / Eii_Izumi,Revisado,FATE,Eii_Izumi,,,,,
VS Berserker / Revivendo um mito,3o32trk40jtrqf4ck0fk3cas88.epk_dec,Cão,Revisado,FATE,Eii_Izumi,,,,,
VS Berserker / Resistência débil,5878pd8ogpq9i44181ml24e2se.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
VS Berserker / Encontrando uma forma de sobreviver,0qdv2gqnp5u11sn79cu6tafvsm.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
VS Berserker / Doze Trabalhos,0s0bmiqmf930leujv5nguvkqdt.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
VS Berserker / Uma noite sem amanhecer,0tfisfjjl55a7bor2hecdk8aeu.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
"VS Berserker / E assim eu rezo, Unlimited Blade Works.",73kp2m78ujgqfofd30jos2dd2t.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
Tiger Dojo 8,4t50afuji8i1s7pmjh97769vb5.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
Dia 12: Café da manhã / Guerra do bife de hambúrguer,02c6u5b00fc06b24mqo999n0pi.epk_dec,daiso,Revisado,FATE,"Eii_Izumi, Rin Flamenguista",,,,,
Dia 12: Manhã / Saber emburrada,4lq6guugu36ns1buk2o51m7d4g.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
Dia 12: Manhã / Illya emburrada,2qn083gfccum3n5an1f8f92gl2.epk_dec,Cão,Revisado,FATE,Eii_Izumi,,,,,
Dia 12: Antes do meio-dia ~ Meio-dia / Treino de espada ~ Saber está estranha,2n94jifsakcddae7mgav2jpsm7.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
Hora do almoço / Concordar honestamente,4mtq6f79bu8kdirrm64s92uu3b.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
Hora do almoço / Saber corada,7b04qhajrt93lh9pdu4d3du4ig.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
Hora do almoço / Brave Leader Hungryheart,6abdt9c5tb362k0iqf4rgdfpac.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
Dia 12: Tarde / Aula de Magia (licença provisória),7qkou2svetbv7fb2auta3c8ise.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
Tudo sobre: Magia de Projeção,01a2fus65hfuuj70kkpo1o1a0a.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
Tudo sobre: Você é resistente,0cb7h57dgejvrrsgv2606k7av9.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
Tudo sobre: O silêncio aparentemente vale ouro,79iinrfaisab1qhm6qm1ibu9o8.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
Dia 12: Quarto de hóspedes da Rin / Saber (II),4b0kq3hq0uhogej77f8tirhlhl.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
Dia 12: Jantar ~ Vestiário / Incidente do espião: pego no flagra,08mq9bakt7mmrn4rvotasaa7u3.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
Dia 12: Levantando ~ Manhã / Memórias de rei ~ Saber boba,58112n162ilolanisvir3utakh.epk_dec,daiso,Revisado,FATE,"Eii_Izumi, Rin Flamenguista",,,,,
Dia 12: Almoço / Hora do almoço,4uqh2ie92lkuvp7s1vf53tgs6o.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
Dia 12: Noite ~ Sono / Saber (III),7eqlqvgm8v6vvu27a7l2ipgpa2.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
"Dia 13: Noite, usando o Santo Graal / Saber (V) ~ VS Caster",4cfp26r9qcoqu10ktfufb7v4b5.epk_dec,PH,Revisado,FATE,Eii_Izumi,@Cão - consegue deixar as imagens desse script em PT-BR?,,,,
VS Caster / Walpurgisnacht,2htdp6j3g9mo3n3r57hb5iur8d.epk_dec,PH,Revisado,FATE,Eii_Izumi,,,,,
VS Caster / Combate corpo a corpo,2iv3sreh6tv24bb0gdl0t78aag.epk_dec,Cão,Revisado,FATE,Eii_Izumi,,,,,
Dia 13: Levantando / Memórias do rei,4vk1hol7lk2o0fls1h3qjvimdd.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
VS Caster / Premonição,0111n1634u5vl2t65fvaorue36.epk_dec,Cão,Revisado,FATE,Eii_Izumi,,,,,
