script	epk	label	text
桜ルート八日目-02.ks	5m16lhp5ct4lpe61qk22ua9ok5.epk_dec	$$$message_0532_0003_0001$$$	
桜ルート八日目-19.ks	11bblbeg7r8smfev5j5g7f2msp.epk_dec	$$$message_0548_0033_0003$$$	
桜ルート八日目-22.ks	1qq591f2i78vmi1omr747tlihv.epk_dec	$$$message_0551_0015_0003$$$	
桜ルート六日目-17.ks	6lh2u9345e9j0apid8nud8mpcp.epk_dec	$$$message_0566_0010_0001$$$	
桜ルート六日目-21.ks	333n8n7hoeeci6o1972cgjacpn.epk_dec	$$$message_0570_0000_0003$$$	
桜ルート十三日目-01.ks	5khjue0ip4njc9p0gqt6m0ej05.epk_dec	$$$message_0590_0085_0002$$$	
桜ルート十三日目-02.ks	0rsedbb2nqc2q0jrfgds3ukgpi.epk_dec	$$$message_0591_0027_0001$$$	
桜ルート十三日目-11.ks	7bjfaambhfkgmklnlpoarqmge7.epk_dec	$$$message_0598_0026_0005$$$	
桜ルート十三日目-12.ks	4g635tk3fqk8dtoeua7apfa84v.epk_dec	$$$message_0599_0031_0004$$$	
桜ルート十三日目-15.ks	4150alo9e7fi8i7eccb2911cv0.epk_dec	$$$message_0602_0000_0038$$$	
桜ルート十二日目-06.ks	6otabb2pq47se279q5l48mbd0n.epk_dec	$$$message_0609_0015_0002$$$	
桜ルート十五日目-00.ks	51s78prfmdgbnfe7sojkvkvd77.epk_dec	$$$message_0618_0017_0001$$$	
桜ルート十五日目-11.ks	05ha6pp4v607a4utl2lqstb97c.epk_dec	$$$message_0629_0062_0002$$$	
桜ルート十五日目-24.ks	54uurpgs4i85arutmktnpjdc60.epk_dec	$$$message_0641_0040_0002$$$	
桜ルート十六日目-00.ks	5hl7pil247fde80u13f78vfhd7.epk_dec	$$$message_0647_0041_0003$$$	
桜ルート十六日目-03.ks	3pnuu4l078ams44sd25ph6vp92.epk_dec	$$$message_0650_0035_0004$$$	
桜ルート十六日目-09.ks	74ruki82a9n4im8knjedcefrs9.epk_dec	$$$message_0656_0018_0001$$$	
桜ルート十六日目-19.ks	077076v8rd17o0gcdhevv9cp84.epk_dec	$$$message_0666_0035_0003$$$	
桜ルート十六日目-24.ks	374atji3uan986mvnddq3gcenf.epk_dec	$$$message_0671_0000_0004$$$	Espere, o que há de amoroso em [font italic=true]this[font italic=false]!?
桜ルート十四日目-02.ks	2u6mdf40tm1sj72o40u71ocej0.epk_dec	$$$message_0674_0012_0003$$$	
桜ルート十四日目-06.ks	244s0os0svgpueieu4ole06lkm.epk_dec	$$$message_0678_0040_0004$$$	
桜ルート十四日目-08.ks	5gqp0o00m7memmif2cmf380v7b.epk_dec	$$$message_0679_0018_0004$$$	
桜ルート十四日目-10.ks	2s2hbeoujae7p94heq6lt0g3vd.epk_dec	$$$message_0681_0042_0004$$$	
桜ルート十日目-01.ks	18v7i6tk22jnl6fchs7mg04cgk.epk_dec	$$$message_0684_0018_0004$$$	
桜ルート十日目-03.ks	6b3qrsk3d4ihm3rgng6pru7vkj.epk_dec	$$$message_0686_0008_0001$$$	
桜ルート十日目-10.ks	4k1sjnki81pm53qdrn5j96df4t.epk_dec	$$$message_0693_0017_0007$$$	
桜ルート十日目-16.ks	6evgqibb11r2d0dd49hqqvudn5.epk_dec	$$$message_0699_0034_0002$$$	
桜ルート十日目-21.ks	5j10is2q4cqgjjk56boqaescrs.epk_dec	$$$message_0704_0001_0002$$$	
桜ルート十日目-34.ks	4e8109hgt7he03qjragk73c7bd.epk_dec	$$$message_0716_0000_0019$$$	
桜ルート四日目-00.ks	0rdtelfo10si7oi4d5dr7plhu8.epk_dec	$$$message_0718_0015_0002$$$	
桜ルート四日目-09.ks	3jtan8gljsnoebqluojm8bnkqo.epk_dec	$$$message_0726_0046_0004$$$	
桜ルート四日目-10.ks	0040nctdg417cj62m3mtmlufoc.epk_dec	$$$message_0727_0114_0001$$$	
